Fly,Source,Morph,Ecl_date,SexWeightSize,Temp_start,Temp_end,Exp_start
0404mill1,L,S,329,fma,,,
0404mill2,L,S,329,fms,,,
0404mill4,L,S,329,fma,,,
0407mill1,L,S,329,fma,,,
0407mill2,L,S,329,fta,,,
0407mill4,L,S,329,fta,,,
0419mill2,L,S,329,fma,,,
0419mill4,L,S,329,fta,,,
0427mill2,L,S,424,fta,,,
0427mill3,L,S,424,fms,,,
0430mill1,L,S,424,ffa,,,
0430mill2,L,S,425,fma,,,
0430mill3,L,S,426,fms,,,
0430mill4,L,S,424,ffs,,,
0503mill1,L,A,427,fml,,,
0503mill2,L,A,501,fma,,,
0503mill4,L,S,501,fms,,,
0504mill1,L,A,427,fma,,,
0504mill2,L,S,425,fta,,,
0504mill3,L,A,428,ffa,,,
0504mill4,L,S,429,ffl,,,
0506mill1,L,A,501,fta,,,
0506mill2,L,S,429,fml,,,
0506mill4,L,S,427,ffa,,,
0508mill1,L,S,427,ffa,,,
0508mill2,L,S,427,ffa,,,
0508mill3,L,S,426,ffa,,,
0508mill4,L,S,427,fma,,,
0509mill1,L,A,429,fma,,,
0509mill2,L,A,428,ffa,,,
0509mill3,L,A,428,ffl,,,
0509mill4,L,A,429,ffa,,,
0510mill1,L,S,427,fma,,,
0510mill2,L,S,426,fta,,,
0510mill3,L,S,426,ffs,,,
0510mill4,L,S,427,fma,,,
0511mill1,L,A,428,fma,,,
0511mill2,L,A,428,fma,,,
0511mill3,L,A,429,fma,,,
0511mill4,L,A,429,fma,,,
0512mill1,L,A,504,fma,,,
0512mill2,L,A,505,fma,,,
0512mill3,L,S,426,fml,,,
0512mill4,L,S,426,ffa,,,
0518mill1,L,S,428,ffs,,,
0518mill2,L,S,428,fma,,,
0518mill3,L,S,429,ffa,,,
0518mill4,L,S,428,fma,,,
0519mill1,L,S,502,ffs,,,
0519mill4,L,A,429,fml,,,
0520mill1,L,S,429,ffa,,,
0520mill2,L,S,429,fma,,,
0520mill3,L,S,429,fma,,,
0520mill4,L,S,430,ffa,,,
0522mill1,L,A,506,fta,,,
0522mill2,L,A,506,ffs,,,
0522mill3,L,A,503,fts,,,
0522mill4,L,A,503,fma,,,
0523mill1,L,S,430,fma,,,
0523mill3,L,A,503,fts,,,
0612mill1,L,A,528,fma,,,
0612mill2,L,A,601,ffa,,,
0612mill3,L,A,604,fma,,,
0612mill4,L,A,606,fta,,,
0613mill1,L,S,528,fml,,,
0613mill2,L,A,610,fts,,,
0613mill3,L,S,612,fma,,,
0615mill1,L,A,528,fma,,,
0615mill2,L,A,601,fma,,,
0615mill3,L,A,604,ffa,,,
0615mill4,L,A,606,fta,,,
0617mill1,L,S,608,fms,,,
0617mill2,L,S,528,fml,,,
0618mill1,L,S,608,fms,,,
0618mill3,L,S,617,fma,,,
0619mill1,L,S,609,fma,,,
0619mill2,L,S,609,ffs,,,
0619mill3,L,S,609,fma,,,
0619mill4,L,S,609,ffa,,,
0620mill1,L,A,611,fma,,,
0620mill2,L,S,608,fta,,,
0620mill3,L,S,617,fml,,,
0621mill1,L,A,619,fta,,,
0621mill2,L,A,611,fma,,,
0621mill3,L,S,604,fms,,,
0622mill1,L,A,619,fma,,,
0622mill2,L,A,611,fma,,,
0622mill3,L,S,609,ffs,,,
0705mill1,W,S,705,fma,20.8,20.7,1238
0706mill1,W,S,705,fma,20.8,20.7,1229
0706mill2,W,S,705,fma,20.8,20.7,1232
0706mill3,W,S,705,ffa,20.8,20.7,1234
0708mill1,W,S,707,ffa,20.8,20.7,1206
0714mill1,W,S,714,fma,20.8,20.7,1225
0714mill3,W,S,714,fma,20.8,20.7,1230
0715mill1,W,S,715,fma,20.8,20.7,1251
0715mill3,W,S,715,ftl,20.8,20.7,1255
0726mill1,W,S,726,mma,20.8,20.7,1248
0726mill2,W,S,726,fma,20.8,20.7,1251
0726mill3,W,S,726,mma,20.8,20.7,1256
0726mill4,W,S,726,mfa,20.8,20.7,1302
0727mill1,W,S,727,fma,20.8,20.7,1229
0727mill2,W,S,727,fma,20.8,20.7,1234
0727mill3,W,S,727,fta,20.8,20.7,1239
0727mill4,W,S,727,ftl,20.8,20.7,1243
0728mill1,W,S,727,ffs,20.8,20.8,1224
0728mill2,W,S,727,ffa,20.8,20.8,1227
0728mill3,W,S,726,mml,20.8,20.8,1230
0728mill4,W,S,726,fta,20.8,20.8,1233
0729mill1,W,S,729,mma,20.8,20.7,1232
0729mill2,W,S,729,mma,20.8,20.7,1234
0729mill3,W,S,729,mma,20.8,20.7,1237
0729mill4,W,S,729,mma,20.8,20.7,1242
0730mill1,W,S,726,ffs,20.8,20.8,1248
0730mill2,W,S,726,ffa,20.8,20.8,1250
0730mill3,W,S,726,ffs,20.8,20.8,1253
0730mill4,W,S,726,fta,20.8,20.8,1255
0731mill1,W,S,729,mtl,20.8,20.5,1327
0731mill2,W,S,729,mfa,20.8,20.5,1332
0731mill3,W,S,729,mma,20.8,20.5,1334
0731mill4,W,S,729,mfa,20.8,20.5,1336
0803mill1,W,S,803,fts,20.8,20.8,1221
0804mill1,W,S,804,fms,20.8,20.8,1245
0804mill2,W,S,804,fma,20.8,20.8,1248
0804mill3,W,S,804,fma,20.8,20.8,1251
0913mill1,W,A,912,fma,,,1229
0913mill2,W,A,912,fma,,,1225
0913mill3,W,A,912,fta,,,1232
0913mill4,W,A,912,fma,,,1235
0914mill1,W,A,912,ffs,19.6,,1223
0914mill2,W,A,912,ffa,19.6,,1233
0914mill3,W,A,912,ffa,19.6,,1218
0914mill4,W,A,912,ffa,19.6,,1228
0915mill1,W,A,913,fml,19.4,19.6,1245
0915mill2,W,A,913,fta,19.4,19.6,1240
0915mill3,W,A,912,fma,19.4,19.6,1250
0915mill4,W,A,912,ffl,19.4,19.6,1259
0916mill1,W,A,912,fma,18.3,18.8,1218
0916mill2,W,A,912,fma,18.3,18.8,1214
0916mill3,W,A,912,fma,18.3,18.8,1222
0916mill4,W,A,912,fma,18.3,18.8,1225
0917mill1,W,A,912,fma,17.6,18.6,1254
0917mill3,W,A,912,ffs,17.6,18.6,1300
0917mill4,W,A,912,ffs,17.6,18.6,1258
0918mill1,W,A,917,fma,18.3,18.7,1341
0918mill2,W,A,917,fts,18.3,18.7,1314
0918mill3,W,A,917,fma,18.3,18.7,1332
0918mill4,W,A,917,fta,18.3,18.7,1347
0920mill1,W,A,917,ffa,17.6,17.7,1503
0920mill2,W,A,917,ffa,17.6,17.7,1515
0920mill3,W,A,917,ffa,17.6,17.7,1509
0920mill4,W,A,917,ffs,17.6,17.7,1457
0921mill1,W,A,917,ffs,16.3,16.9,1247
0921mill2,W,A,917,fml,16.3,16.9,1307
0921mill3,W,A,917,fma,16.3,16.9,1243
0921mill4,W,A,917,ffs,16.3,16.9,1238
0922mill1,W,A,917,fma,18.4,18.4,1341
0922mill2,W,A,917,fma,18.4,18.4,1344
0922mill3,W,A,917,ffl,18.4,18.4,1337
0922mill4,W,A,917,fma,18.4,18.4,1333
0923mill1,W,A,917,ffa,19.9,20,1355
0923mill2,W,A,917,ffs,19.9,20,1402
0923mill3,W,A,917,ffa,19.9,20,1411
0923mill4,W,A,917,fms,19.9,20,1424
0924mill1,W,A,923,fta,18.9,19.4,1322
0924mill2,W,A,923,fta,18.9,19.4,1410
0924mill3,W,A,923,fts,18.9,19.4,1326
0924mill4,W,A,923,fml,18.9,19.4,1351
0925mill1,W,A,923,fta,18.6,19.2,1328
0925mill2,W,A,924,fma,18.6,19.2,1345
0925mill3,W,A,924,fms,18.6,19.2,1332
0925mill4,W,A,924,fta,18.6,19.2,1404
0926mill1,W,A,917,ffa,18.8,19.6,1450
0926mill2,W,A,917,fms,18.8,19.6,1453
0926mill3,W,A,917,ffa,18.8,19.6,1459
0926mill4,W,A,917,fms,18.8,19.6,1447
0927mill1,W,A,926,ffa,19,20,1347
0927mill2,W,A,926,fma,19,20,1333
0927mill3,W,A,926,ffa,19,20,1329
0927mill4,W,A,926,fms,19,20,1326
0928mill1,W,A,926,ffa,19.6,19.8,1254
0928mill2,W,A,926,fma,19.6,19.8,1249
0928mill3,W,A,926,fma,19.6,19.8,1246
0928mill4,W,A,926,ffa,19.6,19.8,1243
0929mill1,W,A,926,ffs,18.8,19.6,1448
0929mill2,W,A,926,fms,18.8,19.6,1417
0929mill3,W,A,926,ffa,18.8,19.6,1435
0929mill4,W,A,926,fma,18.8,19.6,1409
0930mill1,W,A,926,mfa,17.8,19,1334
0930mill2,W,A,926,mma,17.8,19,1331
0930mill3,W,A,926,ffa,17.8,19,1329
0930mill4,W,A,926,fma,17.8,19,1323
1001mill1,W,A,926,fms,18.2,18.6,1313
1001mill2,W,A,926,fms,18.2,18.6,1316
1001mill3,W,A,926,fma,18.2,18.6,1318
1001mill4,W,A,926,fts,18.2,18.6,1347
1002mill1,W,A,1001,fma,18.1,18.6,1325
1002mill2,W,A,1001,fta,18.1,18.6,1330
1002mill3,W,A,1001,fta,18.1,18.6,1312
1002mill4,W,A,1001,fma,18.1,18.6,1336
1003mill1,W,A,1001,fma,19.3,18.9,1337
1003mill2,W,A,1001,ftl,19.3,18.9,1319
1003mill3,W,A,1001,ffa,19.3,18.9,1344
1003mill4,W,A,1001,fma,19.3,18.9,1308
1005mill1,W,A,1001,ffa,13.8,13.5,1358
1005mill2,W,A,1001,fms,13.8,13.5,1404
1005mill3,W,A,1001,fma,13.8,13.5,1343
1005mill4,W,A,1001,ffa,13.8,13.5,1353
1006mill1,W,A,1001,fta,13.4,13.4,1341
1006mill2,W,A,1001,fms,13.4,13.4,1255
1006mill3,W,A,1001,fma,13.4,13.4,1250
1006mill4,W,A,1001,fta,13.4,13.4,1313
1007mill1,W,A,1001,fta,13,13,1413
1007mill2,W,A,1001,ffl,13,13,1400
1007mill3,W,A,1001,mma,13,13,1426
1007mill4,W,A,1001,fma,13,13,1437
1008mill1,W,A,1001,fta,12.9,12.8,1421
1008mill2,W,A,1001,fta,12.9,12.8,1351
1008mill3,W,A,1001,fma,12.9,12.8,1348
1008mill4,W,A,1001,fma,12.9,12.8,1410
1009mill1,W,A,1001,ffa,12.9,12.5,1414
1009mill2,W,A,1001,fms,12.9,12.5,1358
1009mill3,W,A,1001,fma,12.9,12.5,1339
1009mill4,W,A,1001,fma,12.9,12.5,1436
1010mill1,W,A,1001,fma,12.4,12.4,1328
1010mill2,W,A,1001,ffl,12.4,12.4,1439
1010mill3,W,A,1001,ffa,12.4,12.4,1429
1010mill4,W,A,1001,fts,12.4,12.4,1511
1011mill1,W,A,1001,ffl,12.3,12.2,1420
1011mill2,W,A,1001,ffa,12.3,12.2,1406
1011mill3,W,A,1001,ffa,12.3,12.2,1415
1011mill4,W,A,1001,ffs,12.3,12.2,1409
